timestamp,event_type,detail,text
2026-05-08T23:09:20.970337+00:00,stage,,waiting
2026-05-08T23:09:20.982354+00:00,face_message,,I am the SEIC navigation robot. Please enter the person or room you are trying to find.
2026-05-08T23:09:20.984814+00:00,speech_text,,I am the SEIC navigation robot. Please enter the person or room you are trying to find.
2026-05-08T23:19:07.610316+00:00,led_color,sample=10,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.613435+00:00,qbot_led_color,sample=10,"0.000,0.000,1.000"
2026-05-08T23:19:07.619691+00:00,led_color,sample=20,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.626420+00:00,led_color,sample=30,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.637906+00:00,led_color,sample=40,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.657113+00:00,led_color,sample=50,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.673055+00:00,led_color,sample=60,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.680637+00:00,led_color,sample=70,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.697684+00:00,led_color,sample=80,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.704681+00:00,led_color,sample=90,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.713686+00:00,led_color,sample=100,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.720453+00:00,led_color,sample=110,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.755030+00:00,led_color,sample=120,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.761830+00:00,led_color,sample=130,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.778512+00:00,led_color,sample=140,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.785770+00:00,led_color,sample=150,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.793801+00:00,led_color,sample=160,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.800673+00:00,led_color,sample=170,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.808377+00:00,led_color,sample=180,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.815128+00:00,led_color,sample=190,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.836615+00:00,led_color,sample=200,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.844183+00:00,led_color,sample=210,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.859130+00:00,led_color,sample=220,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.866420+00:00,led_color,sample=230,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.882437+00:00,led_color,sample=240,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.889653+00:00,led_color,sample=250,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.898583+00:00,led_color,sample=260,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.905085+00:00,led_color,sample=270,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.912101+00:00,led_color,sample=280,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.935507+00:00,led_color,sample=290,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.942231+00:00,led_color,sample=300,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.949151+00:00,led_color,sample=310,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.955486+00:00,led_color,sample=320,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:07.962335+00:00,led_color,sample=330,"r=1.000,g=1.000,b=0.000,a=1.000"
